target_symbol	disease_group	disease_term	connection_evidence
WNT4	lung	46,xx sex reversal with dysgenesis of kidneys, adrenals, and lungs	marker/mechanism
WNT4	kidney	46,xx sex reversal with dysgenesis of kidneys, adrenals, and lungs	marker/mechanism
SLC4A1	kidney	acidosis, renal tubular	marker/mechanism
SLC4A4	kidney	acidosis, renal tubular	marker/mechanism
ITPR3	skin	acrodermatitis	marker/mechanism
SLC39A4	skin	acrodermatitis	marker/mechanism
PSMB9	skin	acrodermatitis	marker/mechanism
SLC39A4	skin	acrodermatitis enteropathica	marker/mechanism
CAPZB	heart	acute coronary syndrome	marker/mechanism
TUBB1	heart	acute coronary syndrome	marker/mechanism
GAPDH	heart	acute coronary syndrome	marker/mechanism
RAB7B	heart	acute coronary syndrome	marker/mechanism
HSPD1	heart	acute coronary syndrome	marker/mechanism
CKB	heart	acute coronary syndrome	marker/mechanism
VCL	heart	acute coronary syndrome	marker/mechanism
SOD2	heart	acute coronary syndrome	marker/mechanism
GSTP1	heart	acute coronary syndrome	marker/mechanism
TNNI3	heart	acute coronary syndrome	marker/mechanism
ITGB3	heart	acute coronary syndrome	marker/mechanism
TUBA1C	heart	acute coronary syndrome	marker/mechanism
TLR4	heart	acute coronary syndrome	marker/mechanism
HSPA8	heart	acute coronary syndrome	marker/mechanism
VIM	heart	acute coronary syndrome	marker/mechanism
TPM4	heart	acute coronary syndrome	marker/mechanism
ARHGDIB	heart	acute coronary syndrome	marker/mechanism
ENO1	heart	acute coronary syndrome	marker/mechanism
PSMB1	heart	acute coronary syndrome	marker/mechanism
LDHB	heart	acute coronary syndrome	marker/mechanism
PON1	heart	acute coronary syndrome	marker/mechanism
SERPINC1	heart	acute coronary syndrome	therapeutic
PAPPA	heart	acute coronary syndrome	marker/mechanism
GSN	heart	acute coronary syndrome	marker/mechanism
CKM	heart	acute coronary syndrome	marker/mechanism
ACTG1	heart	acute coronary syndrome	marker/mechanism
CRP	heart	acute coronary syndrome	marker/mechanism
TNF	heart	acute coronary syndrome	marker/mechanism
TNNT2	heart	acute coronary syndrome	marker/mechanism
PDIA3	heart	acute coronary syndrome	marker/mechanism
MMP9	heart	acute coronary syndrome	marker/mechanism
IL6	heart	acute coronary syndrome	marker/mechanism
FASN	heart	acute coronary syndrome	marker/mechanism
EPO	kidney	acute kidney injury	therapeutic
HP	kidney	acute kidney injury	marker/mechanism
TTR	kidney	acute kidney injury	marker/mechanism
MIR122	kidney	acute kidney injury	marker/mechanism
IL20	kidney	acute kidney injury	marker/mechanism
CYP2C9	kidney	acute kidney injury	marker/mechanism
MIR148A	kidney	acute kidney injury	marker/mechanism
MIR140	kidney	acute kidney injury	marker/mechanism
HEXB	kidney	acute kidney injury	marker/mechanism
SIRT1	kidney	acute kidney injury	marker/mechanism
UGT1A1	kidney	acute kidney injury	marker/mechanism
LRP2	kidney	acute kidney injury	marker/mechanism
CST3	kidney	acute kidney injury	marker/mechanism
ORM1	kidney	acute kidney injury	marker/mechanism
IGG-2A	kidney	acute kidney injury	marker/mechanism
TLR2	kidney	acute kidney injury	marker/mechanism
CYP3A23-3A1	kidney	acute kidney injury	marker/mechanism
CLU	kidney	acute kidney injury	marker/mechanism
NOS3	kidney	acute kidney injury	marker/mechanism
KLK1	kidney	acute kidney injury	therapeutic
MIR151	kidney	acute kidney injury	marker/mechanism
MIR3473	kidney	acute kidney injury	marker/mechanism
IGFBP1	kidney	acute kidney injury	therapeutic
SOD1	kidney	acute kidney injury	marker/mechanism
MIR26A	kidney	acute kidney injury	marker/mechanism
SLC22A12	kidney	acute kidney injury	marker/mechanism
GFER	kidney	acute kidney injury	therapeutic
ATP5F1B	kidney	acute kidney injury	marker/mechanism
UGT1A9	kidney	acute kidney injury	marker/mechanism
GSK3B	kidney	acute kidney injury	marker/mechanism
HBG2	kidney	acute kidney injury	marker/mechanism
CCT7	kidney	acute kidney injury	marker/mechanism
AHSG	kidney	acute kidney injury	marker/mechanism
MIR25	kidney	acute kidney injury	marker/mechanism
MIR146B	kidney	acute kidney injury	marker/mechanism
MUG1	kidney	acute kidney injury	marker/mechanism
RUP2	kidney	acute kidney injury	marker/mechanism
INS	kidney	acute kidney injury	marker/mechanism
MIR152	kidney	acute kidney injury	marker/mechanism
HAVCR1	kidney	acute kidney injury	marker/mechanism
CP	kidney	acute kidney injury	marker/mechanism
TGFB1	kidney	acute kidney injury	marker/mechanism
VEGFA	kidney	acute kidney injury	marker/mechanism|therapeutic
POMC	kidney	acute kidney injury	therapeutic
AVP	kidney	acute kidney injury	marker/mechanism
SPP1	kidney	acute kidney injury	marker/mechanism
C3	kidney	acute kidney injury	marker/mechanism
AMN	kidney	acute kidney injury	therapeutic
HBEGF	kidney	acute kidney injury	marker/mechanism
KNG1	kidney	acute kidney injury	therapeutic
SERPINA1	kidney	acute kidney injury	marker/mechanism
MIRLET7I	kidney	acute kidney injury	marker/mechanism
CYP2C19	kidney	acute kidney injury	marker/mechanism
GAS6	kidney	acute kidney injury	marker/mechanism
MIR10A	kidney	acute kidney injury	marker/mechanism
GSTA1	kidney	acute kidney injury	marker/mechanism
MIR215	kidney	acute kidney injury	marker/mechanism
GSTM2	kidney	acute kidney injury	marker/mechanism
NFE2L2	kidney	acute kidney injury	marker/mechanism
IL6	kidney	acute kidney injury	therapeutic
NPPA	kidney	acute kidney injury	marker/mechanism|therapeutic
CES1C	kidney	acute kidney injury	marker/mechanism
GPNMB	kidney	acute kidney injury	marker/mechanism
GC	kidney	acute kidney injury	marker/mechanism
TP53	kidney	acute kidney injury	marker/mechanism
MIR23A	kidney	acute kidney injury	marker/mechanism
MIR30D	kidney	acute kidney injury	marker/mechanism
B2M	kidney	acute kidney injury	marker/mechanism
BAX	kidney	acute kidney injury	marker/mechanism
ATP5B	kidney	acute kidney injury	marker/mechanism
TF	kidney	acute kidney injury	marker/mechanism
NQO1	kidney	acute kidney injury	marker/mechanism
UOX	kidney	acute kidney injury	therapeutic
TNFRSF12A	kidney	acute kidney injury	marker/mechanism
CCR5	kidney	acute kidney injury	marker/mechanism
TNF	kidney	acute kidney injury	marker/mechanism
PLG	kidney	acute kidney injury	marker/mechanism
AFM	kidney	acute kidney injury	marker/mechanism
EGFR	kidney	acute kidney injury	therapeutic
PPARG	kidney	acute kidney injury	marker/mechanism|therapeutic
HSPA1A	kidney	acute kidney injury	marker/mechanism
BDKRB2	kidney	acute kidney injury	marker/mechanism
EPHX2	kidney	acute kidney injury	therapeutic
EDN1	kidney	acute kidney injury	marker/mechanism
ALB	kidney	acute kidney injury	marker/mechanism|therapeutic
LCN2	kidney	acute kidney injury	marker/mechanism
HPX	kidney	acute kidney injury	marker/mechanism
MAP1	kidney	acute kidney injury	marker/mechanism
G6PD	kidney	acute kidney injury	marker/mechanism
HMOX1	kidney	acute kidney injury	therapeutic
NOS2	kidney	acute kidney injury	marker/mechanism
TFF3	kidney	acute kidney injury	marker/mechanism
A2M	kidney	acute kidney injury	marker/mechanism
CD44	kidney	acute kidney injury	marker/mechanism
CYP2D6	kidney	acute kidney injury	marker/mechanism
NFKB1	kidney	acute kidney injury	marker/mechanism
LY6	kidney	acute kidney injury	marker/mechanism
RAPGEF3	kidney	acute kidney injury	marker/mechanism
SLC11A1	kidney	acute kidney injury	marker/mechanism
IL10	kidney	acute kidney injury	marker/mechanism
IGF1	kidney	acute kidney injury	therapeutic
AMBP	kidney	acute kidney injury	marker/mechanism|therapeutic
MIR30A	kidney	acute kidney injury	marker/mechanism
SLC22A24	kidney	acute kidney injury	marker/mechanism
MIR192	kidney	acute kidney injury	marker/mechanism
OCLN	kidney	acute kidney injury	marker/mechanism
MPO	kidney	acute kidney injury	marker/mechanism
TLR4	kidney	acute kidney injury	marker/mechanism
IFNA2	kidney	acute kidney injury	marker/mechanism
MIR143	kidney	acute kidney injury	marker/mechanism
GSTP1	kidney	acute kidney injury	marker/mechanism
MIR99A	kidney	acute kidney injury	marker/mechanism
MTHFR	kidney	acute kidney injury	marker/mechanism
FSTL1	kidney	acute kidney injury	marker/mechanism
MIR486	kidney	acute kidney injury	marker/mechanism
FAS	lung	acute lung injury	marker/mechanism
FASLG	lung	acute lung injury	marker/mechanism
ASCL1	lung	acute lung injury	therapeutic
TNFAIP6	lung	acute lung injury	therapeutic
ACVR1	lung	acute lung injury	marker/mechanism
MT1	lung	acute lung injury	marker/mechanism
VIP	lung	acute lung injury	therapeutic
IL1RL1	lung	acute lung injury	therapeutic
CAT	lung	acute lung injury	therapeutic
APOA1	lung	acute lung injury	therapeutic
TGFB1	lung	acute lung injury	marker/mechanism
TFF1	lung	acute lung injury	marker/mechanism
EDN1	lung	acute lung injury	marker/mechanism
ICAM1	lung	acute lung injury	marker/mechanism
CXCL2	lung	acute lung injury	marker/mechanism
NFE2L2	lung	acute lung injury	therapeutic
EPHX1	lung	acute lung injury	marker/mechanism
SFTPD	lung	acute lung injury	therapeutic
TXN	lung	acute lung injury	therapeutic
MT2	lung	acute lung injury	marker/mechanism
TFF2	lung	acute lung injury	marker/mechanism
MYLK	lung	acute lung injury	marker/mechanism
IL17A	lung	acute lung injury	marker/mechanism
PPARG	lung	acute lung injury	therapeutic
FASN	lung	adenocarcinoma of lung	marker/mechanism
MSH6	lung	adenocarcinoma of lung	marker/mechanism
MNX1-AS1	lung	adenocarcinoma of lung	marker/mechanism
RPL36A	lung	adenocarcinoma of lung	marker/mechanism
HSD17B10	lung	adenocarcinoma of lung	marker/mechanism
MRE11A	lung	adenocarcinoma of lung	marker/mechanism
HNRNPA1	lung	adenocarcinoma of lung	marker/mechanism
TTF1	lung	adenocarcinoma of lung	marker/mechanism
ROS1	lung	adenocarcinoma of lung	marker/mechanism
LMNB1	lung	adenocarcinoma of lung	marker/mechanism
SLC15A2	lung	adenocarcinoma of lung	marker/mechanism
BAP1	lung	adenocarcinoma of lung	marker/mechanism
H2BC4	lung	adenocarcinoma of lung	marker/mechanism
SRR	lung	adenocarcinoma of lung	marker/mechanism
ARG1	lung	adenocarcinoma of lung	marker/mechanism
FOXO3	lung	adenocarcinoma of lung	marker/mechanism
SATB1	lung	adenocarcinoma of lung	marker/mechanism
DDR2	lung	adenocarcinoma of lung	marker/mechanism
CMTR2	lung	adenocarcinoma of lung	marker/mechanism
HK1	lung	adenocarcinoma of lung	marker/mechanism
RFC4	lung	adenocarcinoma of lung	marker/mechanism
ANXA5	lung	adenocarcinoma of lung	marker/mechanism
ATP5PD	lung	adenocarcinoma of lung	marker/mechanism
RASA1	lung	adenocarcinoma of lung	marker/mechanism
ARHGAP35	lung	adenocarcinoma of lung	marker/mechanism
IPO5	lung	adenocarcinoma of lung	marker/mechanism
RRM2	lung	adenocarcinoma of lung	marker/mechanism
SFTPC	lung	adenocarcinoma of lung	marker/mechanism
CAPG	lung	adenocarcinoma of lung	marker/mechanism
ALDH18A1	lung	adenocarcinoma of lung	marker/mechanism
PPAN	lung	adenocarcinoma of lung	marker/mechanism
ALB	lung	adenocarcinoma of lung	marker/mechanism
EML4	lung	adenocarcinoma of lung	marker/mechanism
LMNA	lung	adenocarcinoma of lung	marker/mechanism
EGFR	lung	adenocarcinoma of lung	marker/mechanism
MSH3	lung	adenocarcinoma of lung	marker/mechanism
GAR1	lung	adenocarcinoma of lung	marker/mechanism
OGG1	lung	adenocarcinoma of lung	marker/mechanism
TK1	lung	adenocarcinoma of lung	marker/mechanism
IMPDH2	lung	adenocarcinoma of lung	marker/mechanism
GOLM1	lung	adenocarcinoma of lung	marker/mechanism
CLPTM1L	lung	adenocarcinoma of lung	marker/mechanism
EP300	lung	adenocarcinoma of lung	marker/mechanism
MRPL12	lung	adenocarcinoma of lung	marker/mechanism
PIGN	lung	adenocarcinoma of lung	marker/mechanism
CYP2A13	lung	adenocarcinoma of lung	marker/mechanism
TNFSF10	lung	adenocarcinoma of lung	therapeutic
ANP32A	lung	adenocarcinoma of lung	marker/mechanism
EIF3E	lung	adenocarcinoma of lung	marker/mechanism
GART	lung	adenocarcinoma of lung	marker/mechanism
XRCC6	lung	adenocarcinoma of lung	marker/mechanism
SFN	lung	adenocarcinoma of lung	marker/mechanism
AHCY	lung	adenocarcinoma of lung	marker/mechanism
CCT5	lung	adenocarcinoma of lung	marker/mechanism
DOT1L	lung	adenocarcinoma of lung	marker/mechanism
ALOX12B	lung	adenocarcinoma of lung	marker/mechanism
SLC19A1	lung	adenocarcinoma of lung	marker/mechanism
SOX2	lung	adenocarcinoma of lung	marker/mechanism
LDHA	lung	adenocarcinoma of lung	marker/mechanism
AHR	lung	adenocarcinoma of lung	marker/mechanism
STK11	lung	adenocarcinoma of lung	marker/mechanism
ERCC1	lung	adenocarcinoma of lung	marker/mechanism
EIF2B1	lung	adenocarcinoma of lung	marker/mechanism
PSAT1	lung	adenocarcinoma of lung	marker/mechanism
TOP2A	lung	adenocarcinoma of lung	marker/mechanism
SLC4A4	lung	adenocarcinoma of lung	marker/mechanism
SMARCC1	lung	adenocarcinoma of lung	marker/mechanism
IPO4	lung	adenocarcinoma of lung	marker/mechanism
PCBD1	lung	adenocarcinoma of lung	marker/mechanism
GNPNAT1	lung	adenocarcinoma of lung	marker/mechanism
GAPDH	lung	adenocarcinoma of lung	marker/mechanism
PIK3CA	lung	adenocarcinoma of lung	marker/mechanism
PPP3CA	lung	adenocarcinoma of lung	marker/mechanism
GPI1	lung	adenocarcinoma of lung	marker/mechanism
TYMS	lung	adenocarcinoma of lung	marker/mechanism
TF	lung	adenocarcinoma of lung	marker/mechanism
HELLS	lung	adenocarcinoma of lung	marker/mechanism
MRPS5	lung	adenocarcinoma of lung	marker/mechanism
GNG11	lung	adenocarcinoma of lung	marker/mechanism
POLR1D	lung	adenocarcinoma of lung	marker/mechanism
ACSL4	lung	adenocarcinoma of lung	marker/mechanism
EIF2B5	lung	adenocarcinoma of lung	marker/mechanism
NPM3	lung	adenocarcinoma of lung	marker/mechanism
RPL13A	lung	adenocarcinoma of lung	marker/mechanism
SNORD22	lung	adenocarcinoma of lung	marker/mechanism
BZW2	lung	adenocarcinoma of lung	marker/mechanism
TP63	lung	adenocarcinoma of lung	marker/mechanism
MKI67IP	lung	adenocarcinoma of lung	marker/mechanism
XRCC5	lung	adenocarcinoma of lung	marker/mechanism
APOA1	lung	adenocarcinoma of lung	marker/mechanism
KPNA2	lung	adenocarcinoma of lung	marker/mechanism
HK2	lung	adenocarcinoma of lung	marker/mechanism
NAA10	lung	adenocarcinoma of lung	marker/mechanism
TOMM40	lung	adenocarcinoma of lung	marker/mechanism
UCK2	lung	adenocarcinoma of lung	marker/mechanism
APEX1	lung	adenocarcinoma of lung	marker/mechanism
SOD2	lung	adenocarcinoma of lung	marker/mechanism
FBL	lung	adenocarcinoma of lung	marker/mechanism
HMGB2	lung	adenocarcinoma of lung	marker/mechanism
KRAS	lung	adenocarcinoma of lung	marker/mechanism
EIF2B4	lung	adenocarcinoma of lung	marker/mechanism
MS4A1	lung	adenocarcinoma of lung	marker/mechanism
KCNJ4	lung	adenocarcinoma of lung	marker/mechanism
RANGRF	lung	adenocarcinoma of lung	marker/mechanism
ENO1	lung	adenocarcinoma of lung	marker/mechanism
KLF5	lung	adenocarcinoma of lung	marker/mechanism
MYC	lung	adenocarcinoma of lung	marker/mechanism
SHMT1	lung	adenocarcinoma of lung	marker/mechanism
SNRPG	lung	adenocarcinoma of lung	marker/mechanism
TPI	lung	adenocarcinoma of lung	marker/mechanism
TIMM8A1	lung	adenocarcinoma of lung	marker/mechanism
VAV1	lung	adenocarcinoma of lung	marker/mechanism
HRAS	lung	adenocarcinoma of lung	marker/mechanism
PABPC4	lung	adenocarcinoma of lung	marker/mechanism
RPL10A	lung	adenocarcinoma of lung	marker/mechanism
CREBBP	lung	adenocarcinoma of lung	marker/mechanism
ALK	lung	adenocarcinoma of lung	marker/mechanism
NOP58	lung	adenocarcinoma of lung	marker/mechanism
ERP29	lung	adenocarcinoma of lung	marker/mechanism
STK39	lung	adenocarcinoma of lung	marker/mechanism
SUCLG2	lung	adenocarcinoma of lung	marker/mechanism
SFXN1	lung	adenocarcinoma of lung	marker/mechanism
ALOX5	lung	adenocarcinoma of lung	marker/mechanism
CSRP3	lung	adenocarcinoma of lung	marker/mechanism
TIMM10	lung	adenocarcinoma of lung	marker/mechanism
NUDT21	lung	adenocarcinoma of lung	marker/mechanism
STRBP	lung	adenocarcinoma of lung	marker/mechanism
SOS1	lung	adenocarcinoma of lung	marker/mechanism
RRS1	lung	adenocarcinoma of lung	marker/mechanism
ANXA1	lung	adenocarcinoma of lung	marker/mechanism
SLC4A7	lung	adenocarcinoma of lung	marker/mechanism
ABCB1B	lung	adenocarcinoma of lung	marker/mechanism
NCL	lung	adenocarcinoma of lung	marker/mechanism
ALDOA	lung	adenocarcinoma of lung	marker/mechanism
AQP4	lung	adenocarcinoma of lung	marker/mechanism
NPM1	lung	adenocarcinoma of lung	marker/mechanism
TPI1	lung	adenocarcinoma of lung	marker/mechanism
FKBP11	lung	adenocarcinoma of lung	marker/mechanism
XPC	lung	adenocarcinoma of lung	marker/mechanism
RPSA	lung	adenocarcinoma of lung	marker/mechanism
HSPB1	lung	adenocarcinoma of lung	marker/mechanism
APOBEC3B	lung	adenocarcinoma of lung	marker/mechanism
H1F10	lung	adenocarcinoma of lung	marker/mechanism
JUNB	lung	adenocarcinoma of lung	marker/mechanism
RPL27A	lung	adenocarcinoma of lung	marker/mechanism
TRP53	lung	adenocarcinoma of lung	marker/mechanism
MAP2K1	lung	adenocarcinoma of lung	marker/mechanism
GRWD1	lung	adenocarcinoma of lung	marker/mechanism
RRM1	lung	adenocarcinoma of lung	marker/mechanism
RCL1	lung	adenocarcinoma of lung	marker/mechanism
NOP56	lung	adenocarcinoma of lung	marker/mechanism
SRM	lung	adenocarcinoma of lung	marker/mechanism
BRAF	lung	adenocarcinoma of lung	marker/mechanism
COL4A1	kidney	angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps	marker/mechanism
COL4A1	muscle	angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps	marker/mechanism
STRA6	lung	anophthalmia with pulmonary hypoplasia	marker/mechanism
KCNJ2	heart	arrhythmias, cardiac	marker/mechanism
GYG1	heart	arrhythmias, cardiac	marker/mechanism
EDN1	heart	arrhythmias, cardiac	marker/mechanism
AGT	heart	arrhythmias, cardiac	marker/mechanism|therapeutic
CNNM2	heart	arrhythmias, cardiac	marker/mechanism
ACE	heart	arrhythmias, cardiac	marker/mechanism
ESR2	heart	arrhythmias, cardiac	marker/mechanism
AVP	heart	arrhythmias, cardiac	marker/mechanism
TRH	heart	arrhythmias, cardiac	marker/mechanism
KNG1	heart	arrhythmias, cardiac	therapeutic
PPP1R1A	heart	arrhythmias, cardiac	marker/mechanism
HTR4	heart	arrhythmias, cardiac	marker/mechanism
CACNA1C	heart	arrhythmias, cardiac	marker/mechanism
SGO1	heart	arrhythmias, cardiac	marker/mechanism
KCNH2	heart	arrhythmias, cardiac	marker/mechanism
OPRL1	heart	arrhythmias, cardiac	therapeutic
PTGS2	heart	arrhythmias, cardiac	marker/mechanism
OPRK1	heart	arrhythmias, cardiac	therapeutic
GJA1	heart	arrhythmias, cardiac	marker/mechanism
TGFB3	heart	arrhythmogenic right ventricular dysplasia, familial, 1	marker/mechanism
DSG2	heart	arrhythmogenic right ventricular dysplasia, familial, 10	marker/mechanism
DSC2	heart	arrhythmogenic right ventricular dysplasia, familial, 11	marker/mechanism
JUP	heart	arrhythmogenic right ventricular dysplasia, familial, 12	marker/mechanism
CTNNA3	heart	arrhythmogenic right ventricular dysplasia, familial, 13	marker/mechanism
RYR2	heart	arrhythmogenic right ventricular dysplasia, familial, 2	marker/mechanism
TMEM43	heart	arrhythmogenic right ventricular dysplasia, familial, 5	marker/mechanism
DSP	heart	arrhythmogenic right ventricular dysplasia, familial, 8	marker/mechanism
PKP2	heart	arrhythmogenic right ventricular dysplasia, familial, 9	marker/mechanism
YY1AP1	heart	arterial occlusive disease, progressive, with hypertension, heart defects, bone fragility, and brachysyndactyly	marker/mechanism
VIPAS39	kidney	arthrogryposis renal dysfunction cholestasis syndrome	marker/mechanism
VPS33B	kidney	arthrogryposis renal dysfunction cholestasis syndrome	marker/mechanism
KDM1B	heart	atrial fibrillation	marker/mechanism
NOS3	heart	atrial fibrillation	therapeutic
VWF	heart	atrial fibrillation	marker/mechanism
WNT3	heart	atrial fibrillation	marker/mechanism
TUBA8	heart	atrial fibrillation	marker/mechanism
CYP2C19	heart	atrial fibrillation	marker/mechanism
XPO7	heart	atrial fibrillation	marker/mechanism
XPO1	heart	atrial fibrillation	marker/mechanism
DPF3	heart	atrial fibrillation	marker/mechanism
RPL3L	heart	atrial fibrillation	marker/mechanism
ARHGAP10	heart	atrial fibrillation	marker/mechanism
PKP2	heart	atrial fibrillation	marker/mechanism
EPHA3	heart	atrial fibrillation	marker/mechanism
HSF2	heart	atrial fibrillation	marker/mechanism
HIP1R	heart	atrial fibrillation	marker/mechanism
SCN5A	heart	atrial fibrillation	marker/mechanism
LHX3	heart	atrial fibrillation	marker/mechanism
CASQ2	heart	atrial fibrillation	marker/mechanism
HTR4	heart	atrial fibrillation	therapeutic
HERC1	heart	atrial fibrillation	marker/mechanism
KCNE2	heart	atrial fibrillation	marker/mechanism
EDN1	heart	atrial fibrillation	marker/mechanism
LINC01142	heart	atrial fibrillation	marker/mechanism
ERBB4	heart	atrial fibrillation	marker/mechanism
PSMB7	heart	atrial fibrillation	marker/mechanism
SYNPO2L	heart	atrial fibrillation	marker/mechanism
CEP68	heart	atrial fibrillation	marker/mechanism
MIR6500	heart	atrial fibrillation	marker/mechanism
SOX5	heart	atrial fibrillation	marker/mechanism
SLIT3	heart	atrial fibrillation	marker/mechanism
SMAD7	heart	atrial fibrillation	marker/mechanism
THRB	heart	atrial fibrillation	marker/mechanism
GTF2I	heart	atrial fibrillation	marker/mechanism
TTN-AS1	heart	atrial fibrillation	marker/mechanism
ZNF462	heart	atrial fibrillation	marker/mechanism
MYOCD	heart	atrial fibrillation	marker/mechanism
RBM20	heart	atrial fibrillation	marker/mechanism
KCNN3	heart	atrial fibrillation	marker/mechanism
NACA	heart	atrial fibrillation	marker/mechanism
SGCA	heart	atrial fibrillation	marker/mechanism
CDKN1A	heart	atrial fibrillation	marker/mechanism
FRMD4B	heart	atrial fibrillation	marker/mechanism
GJA5	heart	atrial fibrillation	marker/mechanism
CYTH1	heart	atrial fibrillation	marker/mechanism
OPN1SW	heart	atrial fibrillation	marker/mechanism
GATA4	heart	atrial fibrillation	marker/mechanism
CAV2	heart	atrial fibrillation	marker/mechanism
SELE	heart	atrial fibrillation	marker/mechanism
NAV2	heart	atrial fibrillation	marker/mechanism
KCNN2	heart	atrial fibrillation	marker/mechanism
XXYLT1	heart	atrial fibrillation	marker/mechanism
MEX3C	heart	atrial fibrillation	marker/mechanism
GOSR2	heart	atrial fibrillation	marker/mechanism
ACE	heart	atrial fibrillation	marker/mechanism
MYOT	heart	atrial fibrillation	marker/mechanism
SORL1	heart	atrial fibrillation	marker/mechanism
RPS2	heart	atrial fibrillation	marker/mechanism
ESR2	heart	atrial fibrillation	marker/mechanism
MYOZ1	heart	atrial fibrillation	marker/mechanism
HCN4	heart	atrial fibrillation	marker/mechanism
PLN	heart	atrial fibrillation	marker/mechanism
PPFIA4	heart	atrial fibrillation	marker/mechanism
LINC01426	heart	atrial fibrillation	marker/mechanism
NR3C1	heart	atrial fibrillation	marker/mechanism
TBX5	heart	atrial fibrillation	marker/mechanism
MBD5	heart	atrial fibrillation	marker/mechanism
SLC27A6	heart	atrial fibrillation	marker/mechanism
SUN1	heart	atrial fibrillation	marker/mechanism
NKX2-5	heart	atrial fibrillation	marker/mechanism
PITX2	heart	atrial fibrillation	marker/mechanism
MIR30B	heart	atrial fibrillation	marker/mechanism
TEX41	heart	atrial fibrillation	marker/mechanism
CASZ1	heart	atrial fibrillation	marker/mechanism
CAND2	heart	atrial fibrillation	marker/mechanism
SNRNP27	heart	atrial fibrillation	marker/mechanism
SH3PXD2A	heart	atrial fibrillation	marker/mechanism
TTN	heart	atrial fibrillation	marker/mechanism
KCNJ5	heart	atrial fibrillation	marker/mechanism
AKAP6	heart	atrial fibrillation	marker/mechanism
DES	heart	atrial fibrillation	marker/mechanism
REEP1	heart	atrial fibrillation	marker/mechanism
KIF3C	heart	atrial fibrillation	marker/mechanism
SPATS2L	heart	atrial fibrillation	marker/mechanism
GNB4	heart	atrial fibrillation	marker/mechanism
ZPBP2	heart	atrial fibrillation	marker/mechanism
KCNH2	heart	atrial fibrillation	marker/mechanism
UST	heart	atrial fibrillation	marker/mechanism
CALU	heart	atrial fibrillation	marker/mechanism
PAK2	heart	atrial fibrillation	marker/mechanism
CUL4A	heart	atrial fibrillation	marker/mechanism
GYPC	heart	atrial fibrillation	marker/mechanism
WDR1	heart	atrial fibrillation	marker/mechanism
SYNE2	heart	atrial fibrillation	marker/mechanism
NEURL1	heart	atrial fibrillation	marker/mechanism
FBRSL1	heart	atrial fibrillation	marker/mechanism
COG5	heart	atrial fibrillation	marker/mechanism
SLC9B1	heart	atrial fibrillation	marker/mechanism
MIR1-1HG	heart	atrial fibrillation	marker/mechanism
PHLDB2	heart	atrial fibrillation	marker/mechanism
SIRT1	heart	atrial fibrillation	marker/mechanism
SLC35F1	heart	atrial fibrillation	marker/mechanism
BEST3	heart	atrial fibrillation	marker/mechanism
FGF5	heart	atrial fibrillation	marker/mechanism
C1ORF185	heart	atrial fibrillation	marker/mechanism
IRF2BPL	heart	atrial fibrillation	marker/mechanism
USP3	heart	atrial fibrillation	marker/mechanism
MYPN	heart	atrial fibrillation	marker/mechanism
LRIG1	heart	atrial fibrillation	marker/mechanism
TNFSF12	heart	atrial fibrillation	marker/mechanism
HSPG2	heart	atrial fibrillation	marker/mechanism
PPP2R3A	heart	atrial fibrillation	marker/mechanism
ARMH3	heart	atrial fibrillation	marker/mechanism
UBE4B	heart	atrial fibrillation	marker/mechanism
PHLDA1	heart	atrial fibrillation	marker/mechanism
NPPB	heart	atrial fibrillation	marker/mechanism
PRRX1	heart	atrial fibrillation	marker/mechanism
AOPEP	heart	atrial fibrillation	marker/mechanism
CREB5	heart	atrial fibrillation	marker/mechanism
NUCKS1	heart	atrial fibrillation	marker/mechanism
REEP3	heart	atrial fibrillation	marker/mechanism
KCNA5	heart	atrial fibrillation	marker/mechanism
SCN10A	heart	atrial fibrillation	marker/mechanism
MYO1C	heart	atrial fibrillation	marker/mechanism
KCND3	heart	atrial fibrillation	marker/mechanism
ARNT2	heart	atrial fibrillation	marker/mechanism
CGA	heart	atrial fibrillation	marker/mechanism
CAMK2D	heart	atrial fibrillation	marker/mechanism
LRRC10	heart	atrial fibrillation	marker/mechanism
GOPC	heart	atrial fibrillation	marker/mechanism
DGKB	heart	atrial fibrillation	marker/mechanism
SOX15	heart	atrial fibrillation	marker/mechanism
MYH6	heart	atrial fibrillation	marker/mechanism
WNT8A	heart	atrial fibrillation	marker/mechanism
DNAH10	heart	atrial fibrillation	marker/mechanism
MYH7	heart	atrial fibrillation	marker/mechanism
LINC00477	heart	atrial fibrillation	marker/mechanism
PTK2	heart	atrial fibrillation	marker/mechanism
CFL2	heart	atrial fibrillation	marker/mechanism
NEBL	heart	atrial fibrillation	marker/mechanism
MYO18B	heart	atrial fibrillation	marker/mechanism
GCOM1	heart	atrial fibrillation	marker/mechanism
IGF1R	heart	atrial fibrillation	marker/mechanism
SCMH1	heart	atrial fibrillation	marker/mechanism
ASAH1	heart	atrial fibrillation	marker/mechanism
SSPN	heart	atrial fibrillation	marker/mechanism
ATXN1	heart	atrial fibrillation	marker/mechanism
USP34	heart	atrial fibrillation	marker/mechanism
LRMDA	heart	atrial fibrillation	marker/mechanism
WIPF1	heart	atrial fibrillation	marker/mechanism
